Name,Opening Hours,Street Address,Phone,Long,Lat
Smythesdale,Non-24 Hours,Brooke Street,(03) 53428524,143.6861266,-37.6429579
Somerville,Non-24 Hours,197 Eramosa (West) Road,(03) 59781300,145.155642,-38.220963
Sorrento,Non-24 Hours,8-10 Hotham Road,(03) 59842000,144.7345143,-38.3354183
South Melbourne,24 Hours,211 Bank Street,(03) 92573800,144.9596314,-37.83491735
Southbank,24 Hours,66 Moray Street,(03) 86350900,144.9605278,-37.8268135
Speed,Non-24 Hours,Carter Street,(03) 50824251,142.439921,-35.4011884
Springvale,24 Hours,314 Springvale Road,(03) 85588600,145.150989,-37.9585383
St Arnaud,Non-24 Hours,10 Jennings Street,(03) 54951000,143.26027,-36.6164641
St Kilda,24 Hours,92 Chapel Street,"	(03) 95362666",144.9906544,-37.8678683
Stanhope,Non-24 Hours,46 Birdwood Avenue,(03) 58572507,144.9861297,-36.4462996
State Coroner's Assistant's Unit,Non-24 Hours,57-83 Kavanagh Street,(03) 86851131,144.9650734,-37.8234722
Stawell,24 Hours,9 Patrick Street,(03) 53588222,142.7874262,-37.060083
Stratford,Non-24 Hours,89 Tyers Street,(03) 51456404,147.0802769,-37.9649614
Subpoena Management unit,Non-24 Hours,637 Flinders Street,(03) 92476954,144.9534143,-37.8219341
Sunbury,24 Hours,39-41 Macedon Street,(03) 97448111,144.7367826,-37.5809911
Sunshine,24 Hours,497 Ballarat Road,(03) 93133333,144.8312668,-37.7778105
Sunshine Prosecutions,Non-24 Hours,497 Ballarat Road,(03) 93133334,144.8312668,-37.7778105
Swan Hill,24 Hours,507 Campbell Street,(03) 50361600,143.5629299,-35.3559696
Swan Hill Prosecutions,Non-24 Hours,507 Campbell Street,(03) 50361600,143.5629299,-35.3559696
Swifts Creek,Non-24 Hours,Omeo Hwy,(03) 51594333,147.7236,-37.2636
Tallangatta,Non-24 Hours,14 Towong Street ,(02) 60712204,147.1716456,-36.2214832
Tangambalanga,Non-24 Hours,8 Huon-Kiewa Road,(02) 60273254,147.0660005,-36.2205781
Tarnagulla,Non-24 Hours,4 Victoria Street,(03) 54387333,143.8286244,-36.7705047
Tatura,Non-24 Hours,224 Hogan Street,(03) 58243099,145.2314613,-36.4399419
Terang,Non-24 Hours,High Street,(03) 55921058,142.9189241,-38.2413541
Timboon,Non-24 Hours,74 Bailey Street,(03) 55983026,142.971252,-38.483441
Tongala,Non-24 Hours,72 Miller Street,(03) 58590501,144.9505929,-36.2489811
Toora,Non-24 Hours,5-7 Foster Road,(03) 56862485,146.324722,-38.661576
Torquay,Non-24 Hours,122 Surf Coast Hwy,(03) 52643400,144.3162177,-38.3377749
Trafalgar,Non-24 Hours,27 Contingent Street,(03) 56331188,146.1540429,-38.2126916
Transit Safety Division,24 Hours,637 Flinders Street,(03) 92473300,144.9534143,-37.8219341
Traralgon,24 Hours,17 Kay Street,(03) 51722700,146.5366673,-38.1949196
Trentham,Non-24 Hours,12 Cosmo Road,(03) 54241402,144.3198294,-37.3957719
Tungamah,Non-24 Hours,Station Street,(03) 57485508,145.8810605,-36.1639211
Underbool,Non-24 Hours,Monash Avenue,(03) 50946211,141.810799,-35.171218
Victoria Police Centre,Non-24 Hours,637 Flinders Street,(03) 92476666,144.9534143,-37.8219341
Violet Town,Non-24 Hours,0 Corner Primrose and Pink Street,(03) 57981316,145.717634,-36.640286
Wallan,Non-24 Hours,100 Watson Street,(03) 57830400,144.9816606,-37.4164465
Walwa,Non-24 Hours,0 Hanna Street,(02) 60371394,147.7340266,-35.9652543
Wangaratta CIU,Non-24 Hours,21-33 Handley Street,(03) 57230850,146.315254,-36.3613678
Wangaratta HWP,Non-24 Hours,21-33 Handley Street,(03) 57230840,146.315254,-36.3613678
Wangaratta Prosecutions,Non-24 Hours,21-33 Handley Street,(03) 57230662,146.315254,-36.3613678
Wangaratta Uniform,24 Hours,21-33 Handley Street,(03) 57230888,146.315254,-36.3613678
Warburton,Non-24 Hours,1 Corner Station Road & Highfield Avenue,(03) 59662006,145.6887,-37.7536
Warracknabeal,Non-24 Hours,87 Scott Street,(03) 53981044,142.3950125,-36.2481334
Warragul,24 Hours,35 Palmerston Street,(03) 56227111,145.932301,-38.1617472
Warrandyte,Non-24 Hours,0 Forbes Street,(03) 98443231,145.2133864,-37.742171
Warrnambool Prosecutions,Non-24 Hours,214 Koroit Street,(03) 55601196,142.4861768,-38.3847929
Waurn Ponds,24 Hours,13-39 Rossack Drive,(03) 52473500,144.3125948,-38.2021206
WD3 Highway Patrol - Ballarat/Moorabool,Non-24 Hours,1 Mirelle Drive,(03) 53389200,143.8000811,-37.5699214
Wedderburn,Non-24 Hours,90 High Street,(03) 54943300,143.6144076,-36.4208393
Werribee,24 Hours,134 Princes Hwy,(03) 97429444,144.6813732,-37.8942535
Werrimull,Non-24 Hours,Millewa Road,(03) 50281205,141.704768,-34.378927
Whitehorse CIU,Non-24 Hours,1 Kangerong Road,(03) 88923396,145.1273211,-37.8179928
Whitfield,Non-24 Hours,0 Main Street,(03) 57298282,146.4135,-36.7644
Whittlesea,Non-24 Hours,Church Street,(03) 97162102,145.1184284,-37.5097694
Willaura,Non-24 Hours,80 Main Street,(03) 53541281,142.741367,-37.545612
Williamstown,24 Hours,100 Nelson Parade,(03) 93939555,144.885,-37.861
Winchelsea,Non-24 Hours,15 Hesse Street,(03) 52672025,143.99,-38.2442
Winter Valley,Non-24 Hours,1 Mirelle Drive,(03) 53389200,143.8000811,-37.5699214
Wodonga CIU,Non-24 Hours,100 Hovell Street,(02) 60492700,146.8900783,-36.12231095
Wodonga HWP,Non-24 Hours,100 Hovell Street,(02) 60492651,146.8900783,-36.12231095
Wodonga Prosecutions,Non-24 Hours,100 Hovell Street,(02) 60492600,146.8900783,-36.12231095
Wodonga SOCAU,Non-24 Hours,100 Hovell Street,(02) 60492671,146.8900783,-36.12231095
Wodonga Uniform,24 Hours,100 Hovell Street,(02) 60492600,146.8900783,-36.12231095
Wonthaggi,24 Hours,75 Watt Street,(03) 56714100,145.5974152,-38.6066361
Woodend,Non-24 Hours,39 Forrest Street,(03) 54272610,144.526646,-37.354388
Woods Point,Non-24 Hours,24 Scott Street,(03) 57778235,146.250932,-37.567402
Woomelang,Non-24 Hours,48 Brook Street,(03) 50812055,142.665736,-35.68103
Wycheproof,Non-24 Hours,400 Broadway,(03) 54937200,143.2254655,-36.075041
Wyndham North,Non-24 Hours,610 Sayers Road,(03) 87341100,144.687,-37.8478
Yackandandah,Non-24 Hours,8 Railway Avenue,(02) 60271205,146.8435739,-36.3099756
Yarra Glen,Non-24 Hours,68 King Street,(03) 97301296,145.3682614,-37.6591685
Yarra Junction,Non-24 Hours,2395 Warburton Hwy,(03) 59671104,145.607083,-37.7802948
Yarra Ranges HWP,Non-24 Hours,6-10 Albert Hill,(03) 97392402,145.342396,-37.755603
Yarra Ranges TMU,Non-24 Hours,6-10 Albert Road,(03) 97392402,145.3622659,-37.7575364
Yarram,Non-24 Hours,123 Commercial Road,(03) 51825033,146.6771657,-38.5600035
Yarrawonga,Non-24 Hours,25 Burley Road,(03) 57443641,145.9955487,-36.0253526
Yea,Non-24 Hours,0 Hood Street,(03) 57972630,145.4272401,-37.2105475
